seeds: 1 2 5 3 10 3 15 3 21 2 26 2 31 3 35 2 40 3 46 2 50 4

seed-to-soil map:
1000 2 2
2000 6 3
3000 11 2
4000 15 3
5000 20 4
6000 25 2
7000 30 3
8000 35 3
9000 40 2
10000 45 2
11000 51 2

soil-to-fertilizer map:
1000 2 2
2000 6 3
3000 11 2
4000 15 3
5000 20 4
6000 25 2
7000 30 3
8000 35 3
9000 40 2
10000 45 2
11000 51 2

fertilizer-to-water map:
1000 2 2
2000 6 3
3000 11 2
4000 15 3
5000 20 4
6000 25 2
7000 30 3
8000 35 3
9000 40 2
10000 45 2
11000 51 2

water-to-light map:
1000 2 2
2000 6 3
3000 11 2
4000 15 3
5000 20 4
6000 25 2
7000 30 3
8000 35 3
9000 40 2
10000 45 2
11000 51 2

light-to-temperature map:
1000 2 2
2000 6 3
3000 11 2
4000 15 3
5000 20 4
6000 25 2
7000 30 3
8000 35 3
9000 40 2
10000 45 2
11000 51 2

temperature-to-humidity map:
1000 2 2
2000 6 3
3000 11 2
4000 15 3
5000 20 4
6000 25 2
7000 30 3
8000 35 3
9000 40 2
10000 45 2
11000 51 2

humidity-to-location map:
1000 2 2
2000 6 3
3000 11 2
4000 15 3
5000 20 4
6000 25 2
7000 30 3
8000 35 3
9000 40 2
10000 45 2
11000 51 2
